SNo,Urn,JournalDate,PurchaseDate,ExpiryDate,Purchaser,Prefix,BondNumber,Denominations,IssueBranchCode,PayTeller
1,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,TL,11448,1000000,1,5899230
2,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,TL,11447,1000000,1,5899230
3,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,TL,11441,1000000,1,5899230
4,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,OL,1113,100000,1,5899230
5,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,OL,1118,100000,1,5899230
6,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,OL,1112,100000,1,5899230
7,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,OL,1115,100000,1,5899230
8,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,OL,1119,100000,1,5899230
9,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,OL,1110,100000,1,5899230
10,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,OL,1111,100000,1,5899230
11,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,OL,1106,100000,1,5899230
12,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,OL,1114,100000,1,5899230
13,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,A B C INDIA LIMITED,OL,1117,100000,1,5899230
14,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11556,1000000,1,5899230
15,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11555,1000000,1,5899230
16,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1125,100000,1,5899230
17,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1129,100000,1,5899230
