Urn,JournalDate,PurchaseDate,ExpiryDate,Purchaser,Prefix,BondNumber,IssueBranchCode,IssueTeller,IssueState,IssueBranchCodeNo,IssueBranchCity,Unique_key,PurchaserYear,DateEncashment,PartyName,AccountNum,PayBranchCode,PayTeller,encashedyear,EncashedState,EncashedBranchCode,EncashedCity,Denomination
3.00202e+20,2022-01-10,2022-01-10,2022-01-24,VEDANTA LIMITED,OC,11082.0,300.0,7905165.0,Maharashtra,300.0,Mumbai,OC11082,2022.0,2022-01-14,BHARATIYA JANATA PARTY,*******8244,691.0,5642191.0,2022.0,Delhi,691.0,New Delhi,10000000.0
3.00202e+20,2022-01-10,2022-01-10,2022-01-24,VEDANTA LIMITED,OC,11084.0,300.0,7905165.0,Maharashtra,300.0,Mumbai,OC11084,2022.0,2022-01-14,BHARATIYA JANATA PARTY,*******8244,691.0,5642191.0,2022.0,Delhi,691.0,New Delhi,10000000.0
3.00202e+20,2022-01-10,2022-01-10,2022-01-24,VEDANTA LIMITED,OC,11086.0,300.0,7905165.0,Maharashtra,300.0,Mumbai,OC11086,2022.0,2022-01-14,BHARATIYA JANATA PARTY,*******8244,691.0,5642191.0,2022.0,Delhi,691.0,New Delhi,10000000.0
3.00202e+20,2022-01-10,2022-01-10,2022-01-24,VEDANTA LIMITED,OC,11088.0,300.0,7905165.0,Maharashtra,300.0,Mumbai,OC11088,2022.0,2022-01-14,BHARATIYA JANATA PARTY,*******8244,691.0,5642191.0,2022.0,Delhi,691.0,New Delhi,10000000.0
3.00202e+20,2022-01-10,2022-01-10,2022-01-24,VEDANTA LIMITED,OC,11090.0,300.0,7905165.0,Maharashtra,300.0,Mumbai,OC11090,2022.0,2022-01-14,BHARATIYA JANATA PARTY,*******8244,691.0,5642191.0,2022.0,Delhi,691.0,New Delhi,10000000.0
3.00202e+20,2022-01-10,2022-01-10,2022-01-24,VEDANTA LIMITED,OC,11092.0,300.0,7905165.0,Maharashtra,300.0,Mumbai,OC11092,2022.0,2022-01-14,BHARATIYA JANATA PARTY,*******8244,691.0,5642191.0,2022.0,Delhi,691.0,New Delhi,10000000.0
3.00202e+20,2022-01-10,2022-01-10,2022-01-24,VEDANTA LIMITED,OC,11094.0,300.0,7905165.0,Maharashtra,300.0,Mumbai,OC11094,2022.0,2022-01-14,BHARATIYA JANATA PARTY,*******8244,691.0,5642191.0,2022.0,Delhi,691.0,New Delhi,10000000.0
3.00202e+20,2022-01-10,2022-01-10,2022-01-24,VEDANTA LIMITED,OC,11096.0,300.0,7905165.0,Maharashtra,300.0,Mumbai,OC11096,2022.0,2022-01-14,BHARATIYA JANATA PARTY,*******8244,691.0,5642191.0,2022.0,Delhi,691.0,New Delhi,10000000.0
3.00202e+20,2022-01-10,2022-01-10,2022-01-24,VEDANTA LIMITED,OC,11098.0,300.0,7905165.0,Maharashtra,300.0,Mumbai,OC11098,2022.0,2022-01-14,BHARATIYA JANATA PARTY,*******8244,691.0,5642191.0,2022.0,Delhi,691.0,New Delhi,10000000.0
3.00202e+20,2022-01-10,2022-01-10,2022-01-24,VEDANTA LIMITED,OC,11100.0,300.0,7905165.0,Maharashtra,300.0,Mumbai,OC11100,2022.0,2022-01-14,BHARATIYA JANATA PARTY,*******8244,691.0,5642191.0,2022.0,Delhi,691.0,New Delhi,10000000.0
